iter	Passed	Remaining
0	0	825
1	1	739
2	2	703
3	2	683
4	3	690
5	4	698
6	4	688
7	5	680
8	6	674
9	6	667
10	7	664
11	8	660
12	8	663
13	9	662
14	10	661
15	10	658
16	11	655
17	11	652
18	12	650
19	13	646
20	13	646
21	14	644
22	15	643
23	15	641
24	16	640
25	17	640
26	17	639
27	18	641
28	19	641
29	19	641
30	20	640
31	21	638
32	21	638
33	22	636
34	23	635
35	23	633
36	24	632
37	24	631
38	25	632
39	26	631
40	26	630
41	27	629
42	28	628
43	28	627
44	29	626
45	30	625
46	30	624
47	31	624
48	32	623
49	32	622
50	33	621
51	34	621
52	34	619
53	35	618
54	36	618
55	36	618
56	37	617
57	37	616
58	38	615
59	39	614
60	39	613
61	40	612
62	41	611
63	41	610
64	42	610
65	43	609
66	43	609
67	44	608
68	45	607
69	45	606
70	46	605
71	46	605
72	47	604
73	48	603
74	48	602
75	49	601
76	50	601
77	50	600
78	51	600
79	52	600
80	52	601
81	53	600
82	53	596
83	54	595
84	55	594
85	55	594
86	56	593
87	57	593
88	57	592
89	58	592
90	59	591
91	59	590
92	60	589
93	61	588
94	61	587
95	62	587
96	63	586
97	63	586
98	64	585
99	64	584
100	65	582
101	66	581
102	66	580
103	67	578
104	67	577
105	68	576
106	68	575
107	69	574
108	70	573
109	70	572
110	71	571
111	71	569
112	72	568
113	73	567
114	73	567
115	74	568
116	75	566
117	75	565
118	76	563
119	76	563
120	77	561
121	77	559
122	78	559
123	79	558
124	79	557
125	80	556
126	80	554
127	81	553
128	81	552
129	82	551
130	82	549
131	83	548
132	83	547
133	84	547
134	85	546
135	85	545
136	86	543
137	86	542
138	87	541
139	87	540
140	88	539
141	88	537
142	89	536
143	90	535
144	90	534
145	91	533
146	91	532
147	92	530
148	92	529
149	93	528
150	93	527
151	94	526
152	95	526
153	95	525
154	96	524
155	96	523
156	97	522
157	97	521
158	98	520
159	99	519
160	99	517
161	99	516
162	100	516
163	101	515
164	101	515
165	102	514
166	102	513
167	103	512
168	104	511
169	104	510
170	105	509
171	105	509
172	106	508
173	106	507
174	107	506
175	108	505
176	108	506
177	109	506
178	110	505
179	111	507
180	112	509
181	113	509
182	113	508
183	114	507
184	115	506
185	115	506
186	116	506
187	117	505
188	117	504
